Name,Price,Image,Screen,CPU,RAM,Graphics,OS,Weight,Link
HP 15 da1023TU i5 8265U (5NK81PA),14.890.000₫,https://cdn.tgdd.vn/Products/Images/44/195384/hp-15-da1023tu-i5-8265u-4gb-1tb-win10-5nk81pa-33397-thumb-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 2.07 kg, Pin: 40mAh)",https://www.thegioididong.com/laptop/hp-15-da1023tu-i5-8265u-4gb-1tb-win10-5nk81pa
Acer Swift 1 SF114 32 P2SG N5000 (NX.GZJSV.001),10.990.000₫,https://cdn.tgdd.vn/Products/Images/44/200201/acer-swift-sf114-32-p2sg-n5000-4gb-64gb-win10-nxgacer-swift-sf114-32-p2sg-n5000-4gb-64gb-win10-nxg-thumb-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Pentium, 1.10 GHz","RAM: 4 GB, eMMC: 64 GB, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® UHD Graphics 605,HĐH: Windows 10 Home SL,"Nặng: 1.3 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/acer-swift-sf114-32-p2sg-n5000-4gb-64gb-win10-nxg
Acer Spin 3 SP314 51 39WK i3 7130U (NX.GUWSV.001),11.990.000₫,https://cdn.tgdd.vn/Products/Images/44/145919/acer-spin-3-sp314-51-39wk-i3-7130u-nxguwsv001-cava-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i3 Kabylake, 2.70 GHz","RAM: 4 GB, HDD: 500 GB, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.7 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/acer-spin-3-sp314-51-39wk-i3-7130u-nxguwsv001
Acer Aspire A515 53 3153 i3 8145U/(NX.H6BSV.005),12.490.000₫,https://cdn.tgdd.vn/Products/Images/44/198789/acer-aspire-a515-53-3153-i3-8145u-4gb-1gb-win10-n-33397-thumb-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i3 Coffee Lake, 2.10 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 2.0 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/acer-aspire-a515-53-3153-i3-8145u-4gb-1gb-win10-n
Acer Aspire E5 476 50SZ i5 8250U (NX.H33SV.001),13.490.000₫,https://cdn.tgdd.vn/Products/Images/44/175844/acer-aspire-e5-476-50sz-nxh33sv001-33397-thumb-333-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Optane 16GB",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.85 kg, Pin: 4 cell",https://www.thegioididong.com/laptop/acer-aspire-e5-476-50sz-nxh33sv001
Acer Swift 3 SF314 54 38J3 i3 8130U (NX.GXZSV.005),13.490.000₫,https://cdn.tgdd.vn/Products/Images/44/200202/acer-swift-sf314-54-38j3-i3-8130u-4gb-1tb-win10-n-1-1-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i3 Coffee Lake, 2.20 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.5 kg, Pin: 4 cell",https://www.thegioididong.com/laptop/acer-swift-sf314-54-38j3-i3-8130u-4gb-1tb-win10-n
Acer Aspire E5 576G 52YQ i5 8250U (NX.GWNSV.001),14.890.000₫,https://cdn.tgdd.vn/Products/Images/44/184139/acer-aspire-e5-576g-52yq-nxgwnsv001-450-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: NVIDIA MX130, 2GB",HĐH: Windows 10 Home SL,"Nặng: 2.23 kg, Pin: 4 cell",https://www.thegioididong.com/laptop/acer-aspire-e5-576g-52yq-nxgwnsv001
Acer Aspire A515 53 5112 i5 8265U (NX.H6DSV.002),15.490.000₫,https://cdn.tgdd.vn/Products/Images/44/198790/acer-aspire-a515-53-5112-i5-8265u-4gb-16gb-1tb-win-1-1-33397-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Optane 16GB",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 2.0 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/acer-aspire-a515-53-5112-i5-8265u-4gb-16gb-1tb-win
Acer Swift 3 SF314 54 51QL i5 8250U (NX.GXZSV.001),16.790.000₫,https://cdn.tgdd.vn/Products/Images/44/161558/acer-swift-sf314-54-51ql-nxgxzsv001-dai-dien-450x300-1-450x300-450x300-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe, Hỗ trợ bộ nhớ Intel® Optane™",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.5 Kg, Pin: 4 cell",https://www.thegioididong.com/laptop/acer-swift-sf314-54-51ql-nxgxzsv001
Asus X507MA N4000 (BR318T),6.590.000₫,https://cdn.tgdd.vn/Products/Images/44/200505/asus-x507ma-n4000-4gb-256gb-win10-br318t-9-600x600.jpg,"Màn hình: 15.6 inch, HD","CPU: Celeron, 1.10 GHz","RAM: 4 GB, SSD: 256 GB M2",Đồ họa: Intel® UHD Graphics 600,HĐH: Windows 10 Home SL,"Nặng: 1.75 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/asus-x507ma-n4000-4gb-256gb-win10-br318t
