"Name","Price","Image","Screen","CPU","RAM","Graphics","OS","Weight","Link"
"Acer Nitro AN515-52-51GF","20.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869586841555028_acer-nitro-an515-daidien.png","15.6 inchs FHD LED","Intel Core i5 8300H","8 GB DDR4 2666 MHz","NVIDIA GeForce GTX 1050 4 GB","FreeDOS","2.0 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-an515-52-51gf"
"Acer Nitro 5-AN515-52-75FT","23.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869586841555028_acer-nitro-an515-daidien.png","15.6 inches Full HD IPS Anti-Glare, Acer ComfyView LED-backlit TFT LCD","intel core i7 8750H","8 GB DDR4 2666 MHz","NVIDIA GeForce GTX 1050Ti 4 GB GDDR5","Linux","2.42 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-5-an515-52-75ft"
"Acer A315-32-C9A4","5.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png","15.6 inchs HD LED Backlight","Intel Celeron N4000","4 GB DDR4 2133 MHz"," Intel® UHD Graphics 600 Shared","Linux","1.89 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-a315-32-c9a4"
"Acer AS A315-51-325E","8.690.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png","15.6 inchs HD LED Backlight","Intel core i3 7020U","4 GB DDR4 2133 MHz","Intel® HD Graphics 620 Shared","Linux","1.89 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-as-a315-51-325e"
"Acer A315-51-364W","9.290.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png","15.6 inchs FHD","Intel Core i3 7130U","4 GB DDR4 Memory 2133 MHz","Intel HD Graphics 620 Shared","FreeDOS","2.10 Kg","https://fptshop.com.vn//may-tinh-xach-tay/Acer-A315-51-364W"
"Acer Aspire A315-53-54T3","11.899.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png","15.6 inchs FHD LED","Intel Core i5 7200U","4 GB DDR3L 1600 MHz","Intel HD Graphics Shared","Windows 10 Home 64-bit","2.1 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-a315-53-54t3"
"Acer Predator Helios 300 PH315-51-759Y ","40.999.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869511384415304_acer-predator-helios-300-ph315-daidien.png","15.6 inches Acer ComfyView LED-backlit TFT IPS LCD","intel core i7 8750H","16 GB DDR4 2666 MHz","NVIDIA GeForce GTX 1060 (GDDR5 SDRAM, Bus Width: 128 Bit) - Intel UHD Graphics 630 6 GB","Linux","2.6 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-predator-helios-300-ph315-51-759y"
"Acer Swift 5 SF514-52T-87TF/Core i7-8550U/8Gb/256Gb/Win 10 SL","28.790.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869632595544613_acer-swift-5-sf514-daidien.png","14.0 inchs FHD Touch","Intel Core i7 8550U","8 GB LPDDR3 1866 MHz","Intel UHD Graphics 620 Shared ","Windows 10 Home SL 64","0.94 kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-5-sf514-52t-87tf-core-i7-8550u"
"Acer A315-53-30E7/Core i3- 7020U/4Gb/1000Gb/Win 10","9.190.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png","15.6 inchs Anti - Glare","Intel Core i3 7020U","4 GB DDR4 2400 MHz","Intel HD Graphics 620 2 GB","Windows 10 Home","1.98 Kg","https://fptshop.com.vn//may-tinh-xach-tay/acer-a315-53-30e7-core-i3-7020u"
"Swift SF314-54-58KB/Core i5-8250U/4Gb/256Gb/14FHD/WIn10","17.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869611319269125_acer-swift-sf314-54-daidien.png","14.0 inchs IPS FHD","Intel Core i5 8250U","4 GB DDR4 2133 MHz","Intel® UHD Graphics 620 Không","Windows 10 Home","1.5kg","https://fptshop.com.vn//may-tinh-xach-tay/swift-sf314-54-58kb-core-i5-8250u"
"Swift SF315-52-38YQ/Core i3- 8130/4Gb/1000Gb/15.6""FHD/Win10","14.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869624940661433_acer-swift-sf315-daidien.png","15.6 inchs IPS LCD","Intel Core i3 8130U","4 GB DDR4 Không","Intel® UHD Graphics 620 Không","Windows 10 Home","1.7kg","https://fptshop.com.vn//may-tinh-xach-tay/swift-sf315-52-38yq-core-i3-8130"
"Vostro 3578B/Core i5-8250U/4GB/1TB/AMD Radeon520 2GB/Win 10","16.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/5/7/636612854975079854_Dell-Vostro-3578A.png","15.6 inchs LED Backlit","Intel Core i5 8250U","4 GB DDR4 2400 MHz","AMD Radeon 520 2 GB","Windows 10 Home SL 64","2.2 Kg","https://fptshop.com.vn//may-tinh-xach-tay/vostro-3578b-core-i5-8250u"
"Inspiron N3576F/Core i5-8250U/4Gb/1000Gb/DVWRW/Win 10","14.690.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/5/22/636625859222021285_N3576.png","15.6 inchs LED Backlit","Intel Core i5 8250U","4 GB DDR4 2400 MHz","Intel(R) UHD Graphics 620 Shared ","Windows 10 Home SL 64","2.3 Kg","https://fptshop.com.vn//may-tinh-xach-tay/inspiron-n3576f-core-i5-8250u"
"Dell N3576/i3-8130U/4GB/1TB/DVDRW/Win10","12.290.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/5/22/636625859222021285_N3576.png","15.6 inchs LED Backlit","Intel Core i3 8130U","4 GB DDR4 2400 MHz","Intel(R) UHD Graphics 620 Shared ","Windows 10 Home SL 64","2.3 Kg","https://fptshop.com.vn//may-tinh-xach-tay/dell-n3576-i3-8130u"
"Dell Inspiron N3576/Core i3-7020U/4Gb/1000Gb/DVDRW/AMD R5 520 2Gb","11.590.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/5/22/636625859222021285_N3576.png","15.6 inchs FHD","Intel Core i3 7020U","4 GB DDR4 2400 MHZ","AMD Radeon 520 2 GB","Ubuntu","2.30 Kg","https://fptshop.com.vn//may-tinh-xach-tay/dell-inspiron-n3576-core-i3-7020u"
"Dell Inspiron N3576","11.590.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/5/22/636625937978240094_N3576.png","15.6 inchs Anti-Glare LED-Backlit Display","Intel Core i3 7020U","4 GB DDR4 2400 MHZ","AMD Radeon 520 2 GB","Ubuntu","2.30 Kg","https://fptshop.com.vn//may-tinh-xach-tay/dell-inspiron-n3576"
"Dell N3579","25.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/9/27/636736375489794606_Dell N3579.png","15.6 inchs IPS Anti-Glare LED-Backlit Display","Intel  Core™ i7 8750H","8 GB DDR4 2666 MHz","NVIDIA GeForce GTX 1050Ti 4 GB GDDR5","Ubuntu Linux 16.04","~2.35 Kg","https://fptshop.com.vn//may-tinh-xach-tay/dell-n3579"
"Dell Inspiron T7373A","30.290.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/9/14/636725329941781937_Dell Inspiron T7373A.png","13.3 inchs IPS Truelife LED-Backlit Narrow Border Touch Display","Intel Core i7 8550U","8 GB DDR4 2400 GHz","Intel UHD Graphics 620 Shared","Windows 10 SL","1.63 Kg","https://fptshop.com.vn//may-tinh-xach-tay/dell-inspiron-t7373a"
"Macbook Air 13 128GB 2018","31.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/12/19/636808253336771661_Macbook-air-2018.png","13.3 inchs LED Backlit","Intel Core i5 Dual - Core","8 GB LPDDR3 2133 MHz","Intel UHD Graphics 617 Shared ","Mac OS","1250g","https://fptshop.com.vn//may-tinh-xach-tay/macbook-air-13-128gb-2018"
"Macbook Air 13 256GB 2018","36.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/12/19/636808253336771661_Macbook-air-2018.png","13.3 inchs LED Backlit","Intel Core i5 Dual - Core","8 GB LPDDR3 2133 MHz","Intel UHD Graphics 617 Shared ","Mac OS","1250g","https://fptshop.com.vn//may-tinh-xach-tay/macbook-air-13-256gb-2018"
"Macbook 12 256GB (2017)","33.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/14/636778053053351674_Apple-macbook-12-2018.png","12 inch "," Intel Core M3 Dual - Core","8 GB LPDDR3 1866 MHz","Intel HD Graphics 615","Mac Os","0.92 kg","https://fptshop.com.vn//may-tinh-xach-tay/macbook-12-256gb"
"Macbook Pro 13 inch 128GB (2017)","33.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/16/636700374319479202_macpro13.png","13.3 inch ","Intel Core i5 Dual - Core","8 GB LPDDR3 2133MHz","Intel Iris Plus Graphics 640","Mac Os","1.37 kg","https://fptshop.com.vn//may-tinh-xach-tay/macbook-pro-13-inch-128gb-2017"
"Macbook Pro 13 inch 256GB (2017)","38.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/16/636700374319479202_macpro13.png","13.3 inch ","Intel Core i5 Dual - Core","8 GB LPDDR3 2133 MHz","Intel Iris Plus Graphics 640","Mac Os","1.37 kg","https://fptshop.com.vn//may-tinh-xach-tay/macbook-pro-13-inch-256gb-2017"
"Macbook Pro 13 Touch Bar 256 GB (2018)","44.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/16/636700354271169202_touchbar13-1o.png","13.3 inch Công nghệ True Tone, Công nghệ IPS, LED Backlit","Intel Core i5 Quad-Core","8GB LPDDR3 2133MHz","Intel Iris Plus Graphics 655 System Shared","macOS High Sierra","1370g","https://fptshop.com.vn//may-tinh-xach-tay/macbook-pro-13-touch-bar-256gb-2018"
"Macbook Pro 13 Touch Bar 512 GB (2018)","49.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/16/636700354271169202_touchbar13-1o.png","13.3 inch Công nghệ True Tone, Công nghệ IPS, LED Backlit","Intel Core i5 Quad-Core","8GB LPDDR3 2133MHz","Intel Iris Plus Graphics 655 System Shared","macOS High Sierra","1370g","https://fptshop.com.vn//may-tinh-xach-tay/macbook-pro-13-touch-bar-512gb-2018"
"Macbook Pro 15 Touch Bar 256 GB (2018)","57.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/16/636700354271279202_touchbar15-1o.png","15.4 inch Công nghệ True Tone, Công nghệ IPS, LED Backlit","Intel Core i7 6-core","16GB DDR4 2400MHz","Radeon Pro 555X 4GB of GDDR5 ","macOS High Sierra","1830g","https://fptshop.com.vn//may-tinh-xach-tay/macbook-pro-15-touch-bar-256gb-2018"
"Macbook Pro 15 Touch Bar 512 GB (2018)","69.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/16/636700354271279202_touchbar15-1o.png","15.4 inch Công nghệ True Tone, Công nghệ IPS, LED Backlit","Intel Core i7 6-core","16GB DDR4 2400MHz","Radeon Pro 560X 4GB of GDDR5 ","macOS High Sierra","1830g","https://fptshop.com.vn//may-tinh-xach-tay/macbook-pro-15-touch-bar-512gb-2018"
