"Brand","Price","Image","Screen","CPU","RAM","VGA","OS","Weight","Link"
"IdeaPad",9190000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/11/22/636469406353762713_lenovo-320.png",14,"Intel Core i3 6006U",4,"Intel® HD Graphics 520 Không","Windows 10 Home SL 64",2.1,"https://fptshop.com.vn//may-tinh-xach-tay/ideapad-320--14isk-core-i3-6006u-win-10"
"IdeaPad",11490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/15/636699244300754504_Lenovo-330-15.png",15.6,"Intel Core i3 8130U",4,"Intel® HD Graphics 620 Không","Windows 10 Home SL 64",2.2,"https://fptshop.com.vn//may-tinh-xach-tay/ideapad-330-15ikb-core-i3-8130u"
"Ideapad",11790000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/23/636706252120540720_lenovo_81f500bsus_330s_i3_8130u_16gb_1tb_1401775.jpg",14,"Intel Core i3 8130U",4,"Intel® UHD Graphics 620 Shared ","Windows 10 Home",1.67,"https://fptshop.com.vn//may-tinh-xach-tay/ideapad-330s-14ikb-core-i3-8130"
"Lenovo",10690000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2016/12/9/636168907160619682_Lenovo-IdeaPad-310-14ISK-1.jpg",14,"Intel Core i5 6200U",4,"Intel HD Graphics 520 Share"," Free DOS",1.9,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-310-14isk-core-i5"
"HP",26890000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/3/16/636883229387998380_hp-envy-x360-13-ag0046au-r7-dd.png",13.3,"AMD Ryzen™ R7 2700U 7200U",8,"Radeon™ RX Vega 10 Graphics 2 GB","Windows 10 Home",1.3,"https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-13-ag0046au-r7-2700u-8gb"
"HP",19990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383166870981625_HP-Pavilion-15-cc045TX.png",15.6,"Intel Core™ i7 8550U",4,"NVIDIA GeForce MX130 2 GB","Windows 10 Home Single Language 64-Bit ",1.86,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-15-cs0104tx-i7-8550u"
"HP",22490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/28/636789966129956048_HP-Envy-13-ah1011TU.png",13.3,"Intel Core i5 8265U",8,"intel Shared ","Windows 10 Home",1.21,"https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-13-ah1011tu-core-i5-8265u"
"HP",12990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383166870981625_HP-Pavilion-15-cc045TX.png",15.6,"Intel Core i3 8130U",4,"Intel UHD Graphics 620 Shared","Windows 10 Home Single Language 64-Bit",2.1,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-15-cs0016tu"
"HP",11990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/7/2/636661394254459547_x360.jpg",14,"Intel Core i3 7100U",4,"Intel HD Graphics 620 Share","Windows 10 Home 64",1.63,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-14-ba062tu"
"HP",10490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378032368806847_HP-15-bs637TX.png",15.6,"intel Core i3 6006U",4,"AMD Radeon™ 520 2 GB","Windows 10 64 bit",1.86,"https://fptshop.com.vn//may-tinh-xach-tay/HP-15-bs666TXCore-i3-6006U"
